title,tag
Boheme Digital GmbH,Medien
Bonavendi,(e)Commerce
Bonavendi,Online Shopping
bobbie Deutschland GmbH,IT/Technologie
bobbie Deutschland GmbH,PropTech / Real Estate
Board & Bed,Lifestyle
Board & Bed,Sport
Board & Bed,Travel
BotCraft GmbH,Artificial Intelligence
BotCraft GmbH,Big Data
BotCraft GmbH,Industry
BotCraft GmbH,IoT
BotCraft GmbH,IT/Technologie
BotCraft GmbH,Robotics
BotCraft GmbH,SaaS
boost technologies UG (haftungsbeschränkt),App
boost technologies UG (haftungsbeschränkt),Artificial Intelligence
boost technologies UG (haftungsbeschränkt),Fitness
boost technologies UG (haftungsbeschränkt),IT/Technologie
boost technologies UG (haftungsbeschränkt),Lifestyle
boost technologies UG (haftungsbeschränkt),Sport
boost technologies UG (haftungsbeschränkt),Training
BMW Startup Garage,Accelerator/Incubator
BMW i Ventures,Investor
Blogbox UG,IT/Technologie
Blogbox UG,SaaS
BlitzMinds,Big Data
BlitzMinds,IT/Technologie
buchpicker,App
buchpicker,Services
BraveYourself VR,Augmented Reality
BraveYourself VR,IT/Technologie
BraveYourself VR,Virtual Reality
bridging4success UG,Investor
BOX ID Systems GmbH,Industry
BOX ID Systems GmbH,IoT
BOX ID Systems GmbH,IT/Technologie
BOX ID Systems GmbH,Logistics
BOX ID Systems GmbH,SaaS
Braufässchen,Food
Braufässchen,Getränke
Brandriders UG (haftungsbeschränkt),Advertising
Brandriders UG (haftungsbeschränkt),Marketing
Buffle,IT/Technologie
Buffle,SaaS
Brainamics GmbH,Artificial Intelligence
Brainamics GmbH,IT/Technologie
BRAKEABLE,(e)Commerce
BRAKEABLE,Marketing
BRAKEABLE,Online Shopping
BRAKEABLE,SaaS
BRAGI GmbH,Fitness
BRAGI GmbH,Lifestyle
BRAGI GmbH,Medien
BRAGI GmbH,Sport
brainboost GmbH,BioTech
brainboost GmbH,Health
brainboost GmbH,Life Science
brainboost GmbH,MedTech
Brabbler Secure Message and Data Exchange Aktiengesellschaft,IT Security
Brabbler Secure Message and Data Exchange Aktiengesellschaft,IT/Technologie
BugSense,Life Science
BugSense,MedTech
Cadami UG (haftungsbeschränkt),Film
Cadami UG (haftungsbeschränkt),Medien
Business Pendel Bus,Mobility
CAALA GmbH,IT/Technologie
CAALA GmbH,SaaS
BWS Networking APP,Education
BWS Networking APP,eLearning
Buttonwise GmbH,Design
Buttonwise GmbH,Fashion
Buttonwise GmbH,Lifestyle
Buttonwise GmbH,Nachhaltigkeit
Burda Principal Investments,(e)Commerce
Burda Principal Investments,B2C
Burda Principal Investments,Investor
Burda Principal Investments,Medien
bumpee,App
bumpee,IT/Technologie
bumpee,SaaS
Building Radar GmbH,Big Data
Building Radar GmbH,IT/Technologie
Building Radar GmbH,PropTech / Real Estate
